<Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>


# 6th order from Dell, 2017/12/20 for Rx30 machines
#
#
# 37 x R330
GJSFZG2,10:98:36:A8:5D:0C,10:98:36:A8:5D:0D,10:98:36:A8:5D:0E
GJTBZG2,10:98:36:A8:5A:44,10:98:36:A8:5A:45,10:98:36:A8:5A:46
GJTFZG2,10:98:36:A8:5C:58,10:98:36:A8:5C:59,10:98:36:A8:5C:5A
# Machine below was given to Magnus/Pixel for a windows labview machine for the DCDC test bench on the castor table
GJTJZG2,10:98:36:A8:5C:60,10:98:36:A8:5C:61,10:98:36:A8:5C:62
GJVBZG2,10:98:36:A8:5C:14,10:98:36:A8:5C:15,10:98:36:A8:5C:16
GJVGZG2,10:98:36:A8:5C:1C,10:98:36:A8:5C:1D,10:98:36:A8:5C:1E
GJVKZG2,10:98:36:A8:5C:90,10:98:36:A8:5C:91,10:98:36:A8:5C:92
GJWDZG2,10:98:36:A8:5B:54,10:98:36:A8:5B:55,10:98:36:A8:5B:56
GJXBZG2,10:98:36:A8:5B:DC,10:98:36:A8:5B:DD,10:98:36:A8:5B:DE
GJXGZG2,10:98:36:A8:5A:54,10:98:36:A8:5A:55,10:98:36:A8:5A:56
GHPBZG2,10:98:36:A8:5B:34,10:98:36:A8:5B:35,10:98:36:A8:5B:36
GHPLZG2,10:98:36:A8:5A:C4,10:98:36:A8:5A:C5,10:98:36:A8:5A:C6
GHRGZG2,10:98:36:A8:24:ED,10:98:36:A8:24:EE,10:98:36:A8:24:EF
GHRLZG2,10:98:36:A8:5C:0C,10:98:36:A8:5C:0D,10:98:36:A8:5C:0E
GHSHZG2,10:98:36:A8:5C:5C,10:98:36:A8:5C:5D,10:98:36:A8:5C:5E
GHTFZG2,10:98:36:A8:5B:88,10:98:36:A8:5B:89,10:98:36:A8:5B:8A
GHVHZG2,10:98:36:A8:5B:D0,10:98:36:A8:5B:D1,10:98:36:A8:5B:D2
GHXJZG2,10:98:36:A8:5B:9C,10:98:36:A8:5B:9D,10:98:36:A8:5B:9E
GHZDZG2,10:98:36:A8:5B:7C,10:98:36:A8:5B:7D,10:98:36:A8:5B:7E
GJ0CZG2,10:98:36:A8:5A:50,10:98:36:A8:5A:51,10:98:36:A8:5A:52
GRSHZG2,10:98:36:A8:5A:E0,10:98:36:A8:5A:E1,10:98:36:A8:5A:E2
GRTCZG2,10:98:36:A8:5A:5C,10:98:36:A8:5A:5D,10:98:36:A8:5A:5E
GRTGZG2,10:98:36:A8:5C:94,10:98:36:A8:5C:95,10:98:36:A8:5C:96
GRVDZG2,10:98:36:A8:5C:24,10:98:36:A8:5C:25,10:98:36:A8:5C:26
GRVHZG2,10:98:36:A8:5C:78,10:98:36:A8:5C:79,10:98:36:A8:5C:7A
GRWCZG2,10:98:36:A8:5B:C4,10:98:36:A8:5B:C5,10:98:36:A8:5B:C6
GRWGZG2,10:98:36:A8:5C:18,10:98:36:A8:5C:19,10:98:36:A8:5C:1A
GFSLZG2,10:98:36:A8:5B:24,10:98:36:A8:5B:25,10:98:36:A8:5B:26
GFTJZG2,10:98:36:A8:5A:60,10:98:36:A8:5A:61,10:98:36:A8:5A:62
