# Format: <Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>


# Blade Chassis in C2E41-30 with the MACs
FVZZW4J,84:2B:2B:28:FA:92
# slot, 1Gb MAC 1 are
#,84:2B:2B:E5:06:62,,84:2B:2B:E5:06:61
#,84:2B:2B:E5:06:6F,,84:2B:2B:E5:06:6E
#,84:2B:2B:E5:06:7C,,84:2B:2B:E5:06:7B
#,84:2B:2B:E5:06:89,,84:2B:2B:E5:06:88
#,84:2B:2B:E5:06:96,,84:2B:2B:E5:06:95
#,84:2B:2B:E5:06:A3,,84:2B:2B:E5:06:A2
#,84:2B:2B:E5:06:B0,,84:2B:2B:E5:06:AF
#,84:2B:2B:E5:06:BD,,84:2B:2B:E5:06:BC
#,84:2B:2B:E5:06:CA,,84:2B:2B:E5:06:C9
#,84:2B:2B:E5:06:D7,,84:2B:2B:E5:06:D6
#,84:2B:2B:E5:06:E4,,84:2B:2B:E5:06:E3
#,84:2B:2B:E5:06:F1,,84:2B:2B:E5:06:F0
#,84:2B:2B:E5:06:FE,,84:2B:2B:E5:06:FD
#,84:2B:2B:E5:07:0B,,84:2B:2B:E5:07:0A
#,84:2B:2B:E5:07:18,,84:2B:2B:E5:07:17
#,84:2B:2B:E5:07:25,,84:2B:2B:E5:07:24
# slot, 10Gb MAC 1 are
#,84:2B:2B:E5:06:66,,84:2B:2B:E5:06:61
#,84:2B:2B:E5:06:73,,84:2B:2B:E5:06:6E
#,84:2B:2B:E5:06:80,,84:2B:2B:E5:06:7B
#,84:2B:2B:E5:06:8D,,84:2B:2B:E5:06:88
#,84:2B:2B:E5:06:9A,,84:2B:2B:E5:06:95
#,84:2B:2B:E5:06:A7,,84:2B:2B:E5:06:A2
#,84:2B:2B:E5:06:B4,,84:2B:2B:E5:06:AF
#,84:2B:2B:E5:06:C1,,84:2B:2B:E5:06:BC
#,84:2B:2B:E5:06:CE,,84:2B:2B:E5:06:C9
#,84:2B:2B:E5:06:DB,,84:2B:2B:E5:06:D6
#,84:2B:2B:E5:06:E8,,84:2B:2B:E5:06:E3
#,84:2B:2B:E5:06:F5,,84:2B:2B:E5:06:F0
#,84:2B:2B:E5:07:02,,84:2B:2B:E5:07:FD
#,84:2B:2B:E5:07:0F,,84:2B:2B:E5:07:0A
#,84:2B:2B:E5:07:1C,,84:2B:2B:E5:07:17
#,84:2B:2B:E5:07:29,,84:2B:2B:E5:07:24

# Blades in the C2E41-30 chassis
# M630 64GB Blades
4CMCG42,84:2B:2B:E5:06:66,,84:2B:2B:E5:06:61
HFMCG42,84:2B:2B:E5:06:73,,84:2B:2B:E5:06:6E
7BMCG42,84:2B:2B:E5:06:80,,84:2B:2B:E5:06:7B
CFMCG42,84:2B:2B:E5:06:8D,,84:2B:2B:E5:06:88
# M610 Blades
J7VV55J,84:2B:2B:E5:06:9A,,84:2B:2B:E5:06:95
48VV55J,84:2B:2B:E5:06:A7,,84:2B:2B:E5:06:A2
38VV55J,84:2B:2B:E5:06:B4,,84:2B:2B:E5:06:AF
28VV55J,84:2B:2B:E5:06:C1,,84:2B:2B:E5:06:BC
18VV55J,84:2B:2B:E5:06:CE,,84:2B:2B:E5:06:C9
H7VV55J,84:2B:2B:E5:06:DB,,84:2B:2B:E5:06:D6
DWT265J,84:2B:2B:E5:06:E8,,84:2B:2B:E5:06:E3
1XT265J,84:2B:2B:E5:06:F5,,84:2B:2B:E5:06:F0
HWT265J,84:2B:2B:E5:07:02,,84:2B:2B:E5:06:FD
GWT265J,84:2B:2B:E5:07:0F,,84:2B:2B:E5:07:0A
JWT265J,84:2B:2B:E5:07:1C,,84:2B:2B:E5:07:17
#8P40X4J,84:2B:2B:E5:07:29,,84:2B:2B:E5:07:24
FWT265J,84:2B:2B:E5:07:29,,84:2B:2B:E5:07:24


# Blades in the C2F46-32 chassis (10Gb)
# M630 128GB Blades
H9MCG42,D4:AE:52:04:4E:85,,D4:AE:52:04:4E:80
18MCG42,D4:AE:52:04:4E:92,,D4:AE:52:04:4E:8D
J8MCG42,D4:AE:52:04:4E:9F,,D4:AE:52:04:4E:9A
78MCG42,D4:AE:52:04:4E:AC,,D4:AE:52:04:4E:A7
98MCG42,D4:AE:52:04:4E:B9,,D4:AE:52:04:4E:B4
1BMCG42,D4:AE:52:04:4E:C6,,D4:AE:52:04:4E:C1
3KMCG42,D4:AE:52:04:4E:D3,,D4:AE:52:04:4E:CE
7KMCG42,D4:AE:52:04:4E:E0,,D4:AE:52:04:4E:DB
5KMCG42,D4:AE:52:04:4E:ED,,D4:AE:52:04:4E:E8
CKMCG42,D4:AE:52:04:4E:FA,,D4:AE:52:04:4E:F5
# M630 64GB Blades
3GMCG42,D4:AE:52:04:4F:07,,D4:AE:52:04:4F:02
BBMCG42,D4:AE:52:04:4F:14,,D4:AE:52:04:4F:0F
7GMCG42,D4:AE:52:04:4F:21,,D4:AE:52:04:4F:1C
BDMCG42,D4:AE:52:04:4F:2E,,D4:AE:52:04:4F:29
HBMCG42,D4:AE:52:04:4F:3B,,D4:AE:52:04:4F:36
2BMCG42,D4:AE:52:04:4F:48,,D4:AE:52:04:4F:43


# Blades in the C2F47-32 chassis (10Gb)
# M630 128GB Blades
BKMCG42,D4:AE:52:01:19:C5,,D4:AE:52:01:19:C0
HJMCG42,D4:AE:52:01:19:D2,,D4:AE:52:01:19:CD
CJMCG42,D4:AE:52:01:19:DF,,D4:AE:52:01:19:DA
DKMCG42,D4:AE:52:01:19:EC,,D4:AE:52:01:19:E7
9KMCG42,D4:AE:52:01:19:F9,,D4:AE:52:01:19:F4
4JMCG42,D4:AE:52:01:1A:06,,D4:AE:52:01:1A:01
FJMCG42,D4:AE:52:01:1A:13,,D4:AE:52:01:1A:0E
HKMCG42,D4:AE:52:01:1A:20,,D4:AE:52:01:1A:1B
JJMCG42,D4:AE:52:01:1A:2D,,D4:AE:52:01:1A:28
9JMCG42,D4:AE:52:01:1A:3A,,D4:AE:52:01:1A:35
# M630 64GB Blades
GCMCG42,D4:AE:52:01:1A:47,,D4:AE:52:01:1A:42
2DMCG42,D4:AE:52:01:1A:54,,D4:AE:52:01:1A:4F
F9MCG42,D4:AE:52:01:1A:61,,D4:AE:52:01:1A:5C
F8MCG42,D4:AE:52:01:1A:6E,,D4:AE:52:01:1A:69
6DMCG42,D4:AE:52:01:1A:7B,,D4:AE:52:01:1A:76
1FMCG42,D4:AE:52:01:1A:88,,D4:AE:52:01:1A:83


# OLD C2F43
# DCS Redundant chassis and blades for surface or underground
# DCS Blade Enclosures
#57QKH5J,90:B1:1C:11:01:89
#6Q7PJ5J,90:B1:1C:EC:46:41
#JP7PJ5J,90:B1:1C:EC:46:4E
#2Q7PJ5J,90:B1:1C:EC:46:5B
#1Q7PJ5J,90:B1:1C:EC:46:68
#3Q7PJ5J,90:B1:1C:EC:46:75
#7Q7PJ5J,90:B1:1C:EC:46:82
#4Q7PJ5J,90:B1:1C:EC:46:8F
#GP7PJ5J,90:B1:1C:EC:46:9C
#6Z2PJ5J,90:B1:1C:EC:46:A9
#8Z2PJ5J,90:B1:1C:EC:46:B6
#3Z2PJ5J,90:B1:1C:EC:46:C3
#1Z2PJ5J,90:B1:1C:EC:46:D0
#2Z2PJ5J,90:B1:1C:EC:46:DD
#BZ2PJ5J,90:B1:1C:EC:46:EA
#HP7PJ5J,90:B1:1C:EC:46:F7
#FDMCG42,90:B1:1C:EC:47:04

## This one is dcs-c2f43-26-16 but currently in C2E41 chassis
FDMCG42,84:2B:2B:E5:06:CA

# slot,MACs are
#,D4:AE:52:04:98:01
#,D4:AE:52:04:98:0E
