# Format: <Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>


#### Rack C2A01 ####
MC17120214-1,a4:bf:01:2d:20:8d,,a4:bf:01:2d:20:8f
MC17120214-2,a4:bf:01:28:c1:a1,,a4:bf:01:28:c1:a3
MC17120214-3,a4:bf:01:2d:22:6d,,a4:bf:01:2d:22:6f
MC17120214-4,a4:bf:01:2d:1f:b1,,a4:bf:01:2d:1f:b3
MC17120221-1,a4:bf:01:28:9d:f0,,a4:bf:01:28:9d:f2
MC17120221-2,a4:bf:01:28:96:c5,,a4:bf:01:28:96:c7
MC17120221-3,a4:bf:01:28:9b:66,,a4:bf:01:28:9b:68
MC17120221-4,a4:bf:01:28:99:86,,a4:bf:01:28:99:88
MC17120225-1,a4:bf:01:28:c0:9d,,a4:bf:01:28:c0:9f
MC17120225-2,a4:bf:01:28:97:a6,,a4:bf:01:28:97:a8
MC17120225-3,a4:bf:01:28:c6:6a,,a4:bf:01:28:c6:6c
MC17120225-4,a4:bf:01:28:ec:3e,,a4:bf:01:28:ec:40
MC17120240-1,a4:bf:01:2d:23:3f,,a4:bf:01:2d:23:41
MC17120240-2,a4:bf:01:28:c3:72,,a4:bf:01:28:c3:74
MC17120240-3,a4:bf:01:2d:20:42,,a4:bf:01:2d:20:44
MC17120240-4,a4:bf:01:2d:18:2d,,a4:bf:01:2d:18:2f
MC17120245-1,a4:bf:01:29:3a:8f,,a4:bf:01:29:3a:91
MC17120245-2,a4:bf:01:28:97:60,,a4:bf:01:28:97:62
MC17120245-3,a4:bf:01:28:c2:6e,,a4:bf:01:28:c2:70
MC17120245-4,a4:bf:01:28:c1:fb,,a4:bf:01:28:c1:fd
MC17120246-1,a4:bf:01:28:c3:c2,,a4:bf:01:28:c3:c4
MC17120246-2,a4:bf:01:28:91:8e,,a4:bf:01:28:91:90
MC17120246-3,a4:bf:01:28:ed:5b,,a4:bf:01:28:ed:5d
MC17120246-4,a4:bf:01:28:c3:3b,,a4:bf:01:28:c3:3d
MC17120252-1,a4:bf:01:28:98:64,,a4:bf:01:28:98:66
MC17120252-2,a4:bf:01:28:f0:03,,a4:bf:01:28:f0:05
MC17120252-3,a4:bf:01:28:c1:47,,a4:bf:01:28:c1:49
