<Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>
# Lists of eth addresses for uTCA and related HW (PSU, etc...)

# uTCA TCDS crates in S1E01
# Crate in U26
#MCH0201,00:40:42:0B:19:EA
#AMC0201,08:00:30:F1:00:33
#AMC0202,08:00:30:00:22:0A
#AMC0203,0C:05:04:03:02:23
#AMC0204,08:00:30:00:22:0F
#AMC0205,08:00:30:00:22:0D
#AMC0206,08:00:30:00:22:14
#AMC0207,08:00:30:00:22:11
#AMC0208,08:00:30:00:22:17
#AMC0209,08:00:30:00:22:13
#AMC0210,08:00:30:00:22:1B
#AMC0211,08:00:30:00:22:1C
#AMC0212,08:00:30:00:22:1F
#AMC02131,08:00:30:F3:00:44
#AMC02132,08:00:30:F3:00:04
# Crate in U18
#MCH0401,00:40:42:0B:19:FE
#AMC0401,08:00:30:00:22:27
#AMC0402,08:00:30:00:22:26
#AMC0403,08:00:30:00:22:29
#AMC0404,08:00:30:00:22:2D
#AMC0405,08:00:30:00:22:3A
#AMC0406,08:00:30:00:22:2E
#AMC0407,08:00:30:00:22:3C
#AMC0408,08:00:30:00:22:31
#AMC0409,08:00:30:00:22:3D
#AMC0410,08:00:30:00:22:35
#AMC0411,08:00:30:00:22:3E
#AMC0412,08:00:30:00:22:37
#AMC04131,08:00:30:F3:00:4F
#AMC04132,08:00:30:F3:00:0F
# Crate in U10 (0C:05:04:03:02:80 onwards)
#MCH0501,00:40:42:0b:0c:77
#AMC0501,08:00:30:00:22:0E
#AMC0502,08:00:30:00:22:10
#AMC0503,08:00:30:00:22:15
#AMC0504,08:00:30:00:22:16
#AMC0505,08:00:30:00:22:1A
#AMC0506,08:00:30:00:22:18
#AMC0507,08:00:30:00:22:1E
#AMC0508,08:00:30:00:22:20
#AMC0509,08:00:30:00:22:24
#AMC0510,08:00:30:00:22:25
#AMC0511,08:00:30:00:22:28
#AMC0512,08:00:30:00:22:39
#AMC05131,08:00:30:F3:00:65
#AMC05132,08:00:30:F3:00:A5

# Final TCDS crates
# uTCA crate in S1E02 U10
MCH1001,00:40:42:0B:0F:00
AMC1001,0C:05:04:03:03:21
AMC1002,08:00:30:00:23:52
AMC1003,08:00:30:00:23:58
AMC1004,08:00:30:00:23:5C
AMC1005,08:00:30:00:23:5D
AMC1006,08:00:30:00:23:63
AMC1007,08:00:30:00:23:67
AMC1008,0C:05:04:03:03:28
AMC1009,08:00:30:00:23:68
AMC1010,0C:05:04:03:03:30
AMC1011,0C:05:04:03:03:31
AMC1012,0C:05:04:03:03:32
AMC10131,08:00:30:F3:00:D2
AMC10132,08:00:30:F3:00:92
# uTCA crate in S1E02 U18
MCH1101,00:40:42:0B:10:97
AMC1101,08:00:30:00:23:18
AMC1102,08:00:30:00:23:07
AMC1103,08:00:30:00:23:1B
#AMC1103,08:00:30:00:23:0A
AMC1104,08:00:30:00:23:10
#AMC1104,08:00:30:00:23:1B
AMC1105,08:00:30:00:23:0A
#AMC1105,08:00:30:00:23:10
AMC1106,08:00:30:00:28:4C
#AMC1106,08:00:30:00:23:00
AMC1107,08:00:30:00:23:11
AMC1108,08:00:30:00:23:04
AMC1109,08:00:30:00:23:03
AMC1110,08:00:30:00:23:02
AMC1111,08:00:30:00:28:43
AMC1112,08:00:30:00:23:00
#AMC1112,0C:05:04:03:03:52
AMC11131,08:00:30:F3:05:7B
AMC11132,08:00:30:F3:05:3B
# uTCA crate in S1E02 U27
MCH1201,00:40:42:0B:0F:1C
AMC1201,0C:05:04:03:03:61
AMC1202,08:00:30:00:23:6B
AMC1203,08:00:30:00:23:6C
AMC1204,08:00:30:00:23:6D
AMC1205,08:00:30:00:23:6F
AMC1206,08:00:30:00:23:70
AMC1207,08:00:30:00:23:71
AMC1208,08:00:30:00:23:73
AMC1209,08:00:30:00:28:42
AMC1210,08:00:30:00:28:3F
AMC1211,0C:05:04:03:03:71
AMC1212,0C:05:04:03:03:72
AMC12131,08:00:30:F3:00:DF
AMC12132,08:00:30:F3:00:9F
# uTCA crate in S1E02 U36
MCH1301,00:40:42:0B:0F:09
AMC1301,08:00:30:00:23:01
AMC1302,08:00:30:00:23:9F
AMC1303,08:00:30:00:23:9E
